Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,29.09.2018,TSG 1899 Hoffenheim,RB Leipzig,1,2,A,0,0,D,13,18,6,7,4,14,4,8,1,3,0,0
D1,29.09.2018,Bayer 04 Leverkusen,Borussia Dortmund,2,4,A,2,0,H,14,16,6,10,11,12,6,8,1,1,0,0
D1,29.09.2018,1. FC Nürnberg,Fortuna Düsseldorf,3,0,H,1,0,H,10,13,6,4,10,9,4,4,0,2,0,0
D1,29.09.2018,FC Schalke 04 04,1. FSV Mainz 05,1,0,H,1,0,H,15,15,2,5,22,21,4,5,2,2,0,0
D1,29.09.2018,VfB Stuttgart,SV Werder Bremen,2,1,H,1,0,H,18,14,5,3,15,14,6,8,3,4,0,1
D1,29.09.2018,VfL Wolfsburg,Borussia Mönchengladbach,2,2,D,1,1,D,13,10,3,3,6,14,6,3,2,2,0,0
D1,30.09.2018,FC Augsburg,SC Freiburg,4,1,H,2,0,H,21,13,10,6,12,8,5,3,0,1,0,0
D1,30.09.2018,Eintracht Frankfurt,Hannover 96,4,1,H,2,0,H,15,4,7,1,16,11,3,4,1,2,0,0
D1,5.10.2018,SV Werder Bremen,VfL Wolfsburg,2,0,H,1,0,H,15,10,5,4,12,13,7,5,1,2,0,0
D1,6.10.2018,FC Bayern München,Borussia Mönchengladbach,0,3,A,0,2,A,14,7,3,3,7,4,1,3,2,2,0,0
D1,6.10.2018,Borussia Dortmund,FC Augsburg,4,3,H,0,1,A,20,12,8,6,5,29,9,6,1,7,0,0
D1,6.10.2018,Fortuna Düsseldorf,FC Schalke 04 04,0,2,A,0,0,D,9,15,3,5,17,15,4,6,3,1,0,0
D1,6.10.2018,Hannover 96,VfB Stuttgart,3,1,H,2,0,H,15,11,6,5,16,11,5,7,1,2,0,0
D1,6.10.2018,1. FSV Mainz 05,Hertha BSC,0,0,D,0,0,D,23,11,3,1,12,9,5,6,0,2,0,0
D1,7.10.2018,SC Freiburg,Bayer 04 Leverkusen,0,0,D,0,0,D,7,14,1,0,11,12,3,4,3,1,0,0
D1,7.10.2018,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,2,A,0,1,A,20,6,4,4,15,16,6,0,2,4,0,1
D1,7.10.2018,RB Leipzig,1. FC Nürnberg,6,0,H,4,0,H,18,3,8,0,11,12,6,1,0,1,0,1
D1,19.10.2018,Eintracht Frankfurt,Fortuna Düsseldorf,7,1,H,3,0,H,21,10,13,5,13,12,5,1,0,2,0,0
D1,20.10.2018,FC Augsburg,RB Leipzig,0,0,D,0,0,D,6,15,0,3,20,24,2,2,2,5,0,0
D1,20.10.2018,Bayer 04 Leverkusen,Hannover 96,2,2,D,1,1,D,19,9,7,7,14,18,9,5,1,5,0,1
D1,20.10.2018,1. FC Nürnberg,TSG 1899 Hoffenheim,1,3,A,1,0,H,7,20,2,12,8,9,1,7,4,2,0,0
D1,20.10.2018,FC Schalke 04 04,SV Werder Bremen,0,2,A,0,1,A,14,8,4,3,13,9,3,1,1,4,0,0
D1,20.10.2018,VfB Stuttgart,Borussia Dortmund,0,4,A,0,3,A,13,12,5,4,7,5,10,2,0,0,0,0
D1,20.10.2018,VfL Wolfsburg,FC Bayern München,1,3,A,0,1,A,8,13,1,11,9,12,2,9,2,4,0,1
D1,21.10.2018,Hertha BSC,SC Freiburg,1,1,D,1,1,D,13,8,5,3,12,14,8,3,2,0,0,0
D1,21.10.2018,Borussia Mönchengladbach,1. FSV Mainz 05,4,0,H,1,0,H,16,13,8,4,4,10,4,6,0,2,0,0
D1,26.10.2018,SC Freiburg,Borussia Mönchengladbach,3,1,H,1,1,D,13,11,7,2,9,12,3,10,1,1,0,0
D1,27.10.2018,Borussia Dortmund,Hertha BSC,2,2,D,1,1,D,19,10,5,4,7,15,8,2,2,3,0,0
D1,27.10.2018,Fortuna Düsseldorf,VfL Wolfsburg,0,3,A,0,1,A,8,18,1,6,12,11,4,9,3,6,0,0
D1,27.10.2018,Hannover 96,FC Augsburg,1,2,A,0,1,A,17,9,4,4,15,16,5,4,2,3,0,0
D1,27.10.2018,TSG 1899 Hoffenheim,VfB Stuttgart,4,0,H,0,0,D,22,6,10,0,11,9,6,3,1,1,0,1
D1,27.10.2018,1. FSV Mainz 05,FC Bayern München,1,2,A,0,1,A,6,21,1,5,13,6,2,7,3,1,0,0
D1,28.10.2018,1. FC Nürnberg,Eintracht Frankfurt,1,1,D,0,0,D,10,10,3,2,11,13,8,6,2,3,0,0
D1,28.10.2018,RB Leipzig,FC Schalke 04 04,0,0,D,0,0,D,15,6,2,0,11,13,7,4,3,2,0,0
D1,28.10.2018,SV Werder Bremen,Bayer 04 Leverkusen,2,6,A,0,3,A,14,17,6,10,9,8,6,6,2,2,0,0
D1,2.11.2018,VfB Stuttgart,Eintracht Frankfurt,0,3,A,0,2,A,10,15,0,7,4,10,1,3,1,2,0,0
D1,3.11.2018,FC Augsburg,1. FC Nürnberg,2,2,D,1,0,H,17,13,4,5,16,11,6,6,3,3,0,0
D1,3.11.2018,FC Bayern München,SC Freiburg,1,1,D,0,0,D,24,10,6,1,9,8,14,2,1,1,0,0
D1,3.11.2018,Hertha BSC,RB Leipzig,0,3,A,0,1,A,12,25,5,11,6,11,3,7,2,1,0,0
D1,3.11.2018,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1,4,A,1,2,A,21,10,9,4,6,17,6,7,0,2,0,0
D1,3.11.2018,FC Schalke 04 04,Hannover 96,3,1,H,0,0,D,16,20,6,6,10,10,7,7,2,3,0,0
D1,3.11.2018,VfL Wolfsburg,Borussia Dortmund,0,1,A,0,1,A,13,12,3,1,6,9,6,14,0,2,0,0
D1,4.11.2018,1. FSV Mainz 05,SV Werder Bremen,2,1,H,1,0,H,13,14,6,4,7,8,3,6,0,2,0,0
D1,4.11.2018,Borussia Mönchengladbach,Fortuna Düsseldorf,3,0,H,0,0,D,21,13,7,6,15,8,10,4,1,2,0,0
D1,9.11.2018,Hannover 96,VfL Wolfsburg,2,1,H,1,0,H,10,19,4,9,14,8,3,5,4,2,0,0
D1,10.11.2018,Borussia Dortmund,FC Bayern München,3,2,H,0,1,A,11,9,5,3,4,8,0,6,3,3,0,0
D1,10.11.2018,Fortuna Düsseldorf,Hertha BSC,4,1,H,0,0,D,20,11,9,5,15,15,2,6,1,3,0,1
D1,10.11.2018,SC Freiburg,1. FSV Mainz 05,1,3,A,0,2,A,15,12,4,9,19,10,3,4,1,2,0,0
D1,10.11.2018,TSG 1899 Hoffenheim,FC Augsburg,2,1,H,0,0,D,18,22,7,7,14,6,6,6,1,1,0,0
D1,10.11.2018,1. FC Nürnberg,VfB Stuttgart,0,2,A,0,0,D,10,13,3,4,14,10,3,9,1,0,0,0
D1,10.11.2018,SV Werder Bremen,Borussia Mönchengladbach,1,3,A,0,1,A,20,16,5,6,7,2,9,5,0,0,0,0
D1,11.11.2018,Eintracht Frankfurt,FC Schalke 04 04,3,0,H,0,0,D,14,5,4,1,7,13,10,4,0,2,0,0
D1,11.11.2018,RB Leipzig,Bayer 04 Leverkusen,3,0,H,1,0,H,14,7,7,2,12,12,4,3,0,1,0,0
D1,23.11.2018,Bayer 04 Leverkusen,VfB Stuttgart,2,0,H,0,0,D,17,10,4,2,13,8,6,9,3,3,0,0
D1,24.11.2018,FC Augsburg,Eintracht Frankfurt,1,3,A,0,1,A,25,15,10,7,3,12,8,5,1,2,0,0
D1,24.11.2018,FC Bayern München,Fortuna Düsseldorf,3,3,D,2,1,H,17,9,5,5,4,7,9,2,0,1,0,0
D1,24.11.2018,Hertha BSC,TSG 1899 Hoffenheim,3,3,D,1,2,A,23,13,8,6,9,13,8,5,1,2,0,0
D1,24.11.2018,1. FSV Mainz 05,Borussia Dortmund,1,2,A,0,0,D,15,11,7,7,9,11,6,5,2,1,0,0
D1,24.11.2018,FC Schalke 04 04,1. FC Nürnberg,5,2,H,2,1,H,20,12,10,6,7,12,7,2,1,2,0,1
D1,24.11.2018,VfL Wolfsburg,RB Leipzig,1,0,H,0,0,D,5,10,3,4,10,13,2,9,1,2,0,0
D1,25.11.2018,SC Freiburg,SV Werder Bremen,1,1,D,1,0,H,23,19,9,8,6,10,6,3,0,2,0,0
D1,25.11.2018,Borussia Mönchengladbach,Hannover 96,4,1,H,2,1,H,20,5,6,3,8,10,5,5,1,1,0,0
D1,30.11.2018,Fortuna Düsseldorf,1. FSV Mainz 05,0,1,A,0,0,D,20,15,7,3,8,7,12,5,1,1,0,0
D1,1.12.2018,Borussia Dortmund,SC Freiburg,2,0,H,1,0,H,11,5,4,1,6,11,2,3,1,1,0,0
D1,1.12.2018,Hannover 96,Hertha BSC,0,2,A,0,1,A,10,14,2,8,9,14,3,6,2,3,0,0
D1,1.12.2018,TSG 1899 Hoffenheim,FC Schalke 04 04,1,1,D,0,0,D,20,13,7,5,11,13,4,10,3,3,0,0
D1,1.12.2018,VfB Stuttgart,FC Augsburg,1,0,H,1,0,H,13,17,3,4,11,10,3,8,4,2,0,0
D1,1.12.2018,SV Werder Bremen,FC Bayern München,1,2,A,1,1,D,9,16,3,5,13,8,3,10,3,2,1,0
D1,2.12.2018,Eintracht Frankfurt,VfL Wolfsburg,1,2,A,0,1,A,13,10,2,3,10,9,9,3,3,7,0,0
D1,2.12.2018,RB Leipzig,Borussia Mönchengladbach,2,0,H,2,0,H,14,7,6,4,9,9,5,4,2,2,0,0
D1,3.12.2018,1. FC Nürnberg,Bayer 04 Leverkusen,1,1,D,0,1,A,11,20,4,6,14,10,3,6,3,2,0,0
D1,7.12.2018,SV Werder Bremen,Fortuna Düsseldorf,3,1,H,1,1,D,22,12,9,3,13,18,6,4,3,4,0,0
D1,8.12.2018,FC Bayern München,1. FC Nürnberg,3,0,H,2,0,H,20,4,8,1,9,6,11,1,1,0,0,0
D1,8.12.2018,SC Freiburg,RB Leipzig,3,0,H,2,0,H,12,15,9,4,9,16,3,12,1,2,0,0
D1,8.12.2018,Hertha BSC,Eintracht Frankfurt,1,0,H,1,0,H,7,18,4,4,15,14,5,9,1,0,0,0
D1,8.12.2018,Bayer 04 Leverkusen,FC Augsburg,1,0,H,0,0,D,21,13,7,1,11,17,4,2,1,2,0,0
D1,8.12.2018,FC Schalke 04 04,Borussia Dortmund,1,2,A,0,1,A,6,10,3,3,12,9,3,1,4,3,0,0
D1,8.12.2018,VfL Wolfsburg,TSG 1899 Hoffenheim,2,2,D,2,1,H,10,19,3,6,9,9,6,4,1,2,0,0
D1,9.12.2018,1. FSV Mainz 05,Hannover 96,1,1,D,0,1,A,28,11,5,3,12,9,9,1,4,3,0,1
