Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,16.09.2018,FC Girondins de Bordeaux,Nîmes Olympique,3,3,D,1,2,A,15,14,4,5,12,9,8,3,2,0,0,0
F1,16.09.2018,Olympique de Marseille,En Avant de Guingamp,4,0,H,0,0,D,17,2,6,0,7,9,8,1,1,1,0,0
F1,16.09.2018,FC Nantes,Stade de Reims,0,0,D,0,0,D,12,7,6,0,13,12,7,7,3,4,0,0
F1,21.09.2018,AS Monaco,Nîmes Olympique,1,1,D,1,1,D,15,9,4,2,15,15,5,5,1,2,0,0
F1,22.09.2018,Angers SCO,Toulouse Football Club,0,0,D,0,0,D,16,7,4,0,14,14,4,4,1,2,0,0
F1,22.09.2018,LOSC Lille,FC Nantes,2,1,H,1,0,H,11,11,8,4,15,12,4,1,3,4,0,0
F1,22.09.2018,Montpellier HSC,OGC Nice,1,0,H,1,0,H,12,9,5,2,14,11,6,5,3,2,0,0
F1,22.09.2018,Stade de Reims,Dijon FCO,0,0,D,0,0,D,11,6,2,0,15,14,9,3,1,1,0,0
F1,22.09.2018,AS Saint-Étienne,Stade Malherbe Caen,2,1,H,0,1,A,23,9,7,2,3,20,9,6,2,3,0,0
F1,22.09.2018,RC Strasbourg Alsace,Amiens SC,3,1,H,0,1,A,13,8,6,3,16,13,1,1,1,4,0,0
F1,23.09.2018,En Avant de Guingamp,FC Girondins de Bordeaux,1,3,A,0,0,D,18,11,5,6,14,17,6,4,1,4,0,0
F1,23.09.2018,Olympique Lyonnais,Olympique de Marseille,4,2,H,1,1,D,17,9,5,3,7,12,3,7,1,2,0,1
F1,23.09.2018,Stade Rennais FC,Paris Saint-Germain,1,3,A,1,1,D,14,15,4,6,11,17,9,4,2,3,0,0
F1,25.09.2018,AS Monaco,Angers SCO,0,1,A,0,1,A,7,6,0,3,13,12,5,4,1,2,0,0
F1,25.09.2018,FC Nantes,OGC Nice,1,2,A,0,1,A,10,12,3,5,12,15,8,8,1,2,0,0
F1,25.09.2018,Toulouse Football Club,AS Saint-Étienne,2,3,A,0,1,A,20,14,6,8,13,14,4,2,1,2,0,0
F1,26.09.2018,Amiens SC,Stade Rennais FC,2,1,H,0,0,D,12,15,3,2,11,18,9,6,0,2,0,1
F1,26.09.2018,FC Girondins de Bordeaux,LOSC Lille,1,0,H,1,0,H,7,15,3,6,13,19,3,4,1,3,0,1
F1,26.09.2018,Stade Malherbe Caen,Montpellier HSC,2,2,D,1,1,D,11,16,3,6,10,14,4,6,2,2,0,1
F1,26.09.2018,Dijon FCO,Olympique Lyonnais,0,3,A,0,3,A,30,16,6,5,12,11,8,2,2,2,1,1
F1,26.09.2018,Olympique de Marseille,RC Strasbourg Alsace,3,2,H,2,1,H,13,9,5,5,12,13,3,2,3,3,1,0
F1,26.09.2018,Nîmes Olympique,En Avant de Guingamp,0,0,D,0,0,D,7,9,2,3,11,12,4,3,3,3,0,0
F1,26.09.2018,Paris Saint-Germain,Stade de Reims,4,1,H,3,1,H,15,9,7,3,12,13,8,4,0,1,0,0
F1,28.09.2018,AS Saint-Étienne,AS Monaco,2,0,H,1,0,H,16,20,5,7,8,9,6,3,0,1,0,0
F1,29.09.2018,Angers SCO,En Avant de Guingamp,0,1,A,0,1,A,11,11,4,5,15,13,1,4,3,3,0,0
F1,29.09.2018,Stade Malherbe Caen,Amiens SC,1,0,H,1,0,H,12,7,4,2,15,11,7,4,2,2,0,1
F1,29.09.2018,Olympique Lyonnais,FC Nantes,1,1,D,1,0,H,20,19,7,4,15,12,10,10,3,4,0,0
F1,29.09.2018,OGC Nice,Paris Saint-Germain,0,3,A,0,1,A,9,21,1,8,13,12,3,7,3,2,1,0
F1,29.09.2018,Stade de Reims,FC Girondins de Bordeaux,0,0,D,0,0,D,9,7,0,3,16,23,7,1,2,3,0,0
F1,29.09.2018,RC Strasbourg Alsace,Dijon FCO,3,0,H,1,0,H,7,14,5,1,11,17,0,5,1,3,0,0
F1,30.09.2018,LOSC Lille,Olympique de Marseille,3,0,H,0,0,D,16,8,4,3,8,14,5,2,1,3,0,0
F1,30.09.2018,Montpellier HSC,Nîmes Olympique,3,0,H,2,0,H,19,11,6,3,15,18,4,1,2,3,0,0
