Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,23.09.2018,Feyenoord,FC Utrecht,1,0,H,0,0,D,23,12,9,1,20,11,4,2,1,0,0,0
N1,23.09.2018,FC Groningen,AZ Alkmaar,1,3,A,1,1,D,8,21,3,11,8,11,3,7,4,3,2,0
N1,23.09.2018,PSV,Ajax,3,0,H,3,0,H,14,15,8,4,18,12,1,6,3,2,0,0
N1,29.09.2018,Excelsior,VVV-Venlo,1,0,H,1,0,H,9,14,2,4,12,10,3,9,2,1,1,0
N1,29.09.2018,Fortuna Sittard,Ajax,0,2,A,0,0,D,15,17,5,4,12,12,3,8,2,2,0,0
N1,29.09.2018,SC Heerenveen,ADO Den Haag,1,1,D,1,1,D,11,8,1,2,17,14,2,3,1,3,0,0
N1,29.09.2018,NAC Breda,PSV,0,2,A,0,0,D,10,12,2,4,8,11,4,9,3,4,0,0
N1,30.09.2018,AZ Alkmaar,PEC Zwolle,2,2,D,1,1,D,15,9,3,3,11,18,9,0,1,3,0,0
N1,30.09.2018,Feyenoord,Vitesse,2,1,H,0,1,A,19,11,7,5,14,8,9,1,0,2,1,2
N1,30.09.2018,De Graafschap,Willem II,2,1,H,1,0,H,24,10,7,4,12,19,10,3,1,5,0,2
N1,30.09.2018,FC Groningen,FC Utrecht,1,1,D,0,1,A,15,7,6,2,13,9,4,3,1,3,0,1
N1,30.09.2018,Heracles Almelo,FC Emmen,2,1,H,2,0,H,15,16,6,8,12,10,2,7,2,2,0,0
N1,5.10.2018,FC Utrecht,NAC Breda,2,1,H,1,0,H,18,9,5,3,6,9,11,2,0,2,0,0
N1,6.10.2018,ADO Den Haag,FC Groningen,1,0,H,1,0,H,9,8,3,3,11,18,6,5,1,2,0,0
N1,6.10.2018,De Graafschap,SC Heerenveen,0,5,A,0,4,A,8,24,1,14,12,8,1,6,0,0,1,0
N1,6.10.2018,PSV,VVV-Venlo,4,0,H,1,0,H,24,3,8,0,7,15,6,1,0,2,0,0
N1,6.10.2018,PEC Zwolle,Excelsior,2,0,H,1,0,H,22,5,4,2,11,12,5,5,1,3,0,0
N1,7.10.2018,Ajax,AZ Alkmaar,5,0,H,1,0,H,22,5,11,3,11,14,6,4,2,3,0,0
N1,7.10.2018,FC Emmen,Fortuna Sittard,3,3,D,1,0,H,12,12,4,6,17,16,3,3,4,1,0,0
N1,7.10.2018,Vitesse,Heracles Almelo,4,0,H,2,0,H,19,4,6,2,11,16,5,5,1,3,0,0
N1,7.10.2018,Willem II,Feyenoord,1,1,D,0,0,D,12,9,4,7,12,9,2,8,4,2,0,0
N1,20.10.2018,Excelsior,Vitesse,2,0,H,1,0,H,6,24,1,7,11,12,9,13,0,0,1,0
N1,20.10.2018,SC Heerenveen,Ajax,0,4,A,0,2,A,13,17,4,10,9,12,5,10,2,1,0,0
N1,20.10.2018,PSV,FC Emmen,6,0,H,4,0,H,29,8,15,4,7,9,10,1,3,3,0,0
