Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,22.09.2018,Kayserispor,Atiker Konyaspor,0,2,A,0,2,A,17,8,4,5,18,7,6,5,1,2,0,0
T1,22.09.2018,Trabzonspor,Göztepe SK,1,2,A,0,2,A,13,5,5,2,12,12,4,2,2,4,0,0
T1,22.09.2018,Yeni Malatyaspor,Çaykur Rizespor,1,0,H,1,0,H,23,7,9,1,17,15,10,3,2,3,0,1
T1,23.09.2018,Akhisar Belediyespor,Galatasaray SK,3,0,H,0,0,D,10,12,5,3,15,13,1,6,4,3,0,0
T1,23.09.2018,Antalyaspor,Sivasspor,2,1,H,2,1,H,6,15,3,2,14,7,6,4,4,1,0,0
T1,23.09.2018,Kasimpaþa SK,Alanyaspor,1,2,A,0,1,A,24,8,6,3,14,17,7,0,2,3,0,0
T1,24.09.2018,Fenerbahçe SK,Beþiktaþ JK,1,1,D,0,1,A,13,11,7,4,13,16,2,7,1,5,0,1
T1,28.09.2018,Galatasaray SK,BB Erzurumspor,1,0,H,0,0,D,12,10,7,1,12,12,10,6,3,2,0,0
T1,29.09.2018,Alanyaspor,Akhisar Belediyespor,2,1,H,1,0,H,5,6,3,1,17,9,2,8,4,2,1,0
T1,29.09.2018,Beþiktaþ JK,Kayserispor,2,0,H,1,0,H,12,9,4,3,10,11,6,3,1,0,0,0
T1,29.09.2018,Trabzonspor,Kasimpaþa SK,4,2,H,1,2,A,19,16,7,9,14,11,7,6,2,3,0,0
T1,30.09.2018,Göztepe SK,Atiker Konyaspor,3,2,H,2,0,H,13,10,9,2,11,15,7,6,3,4,0,0
T1,30.09.2018,Çaykur Rizespor,Fenerbahçe SK,3,0,H,3,0,H,9,17,4,5,11,15,5,7,1,1,0,0
T1,30.09.2018,Sivasspor,Bursaspor,2,0,H,1,0,H,9,7,3,3,23,14,5,6,2,4,0,0
T1,1.10.2018,MKE Ankaragücü,Antalyaspor,0,1,A,0,1,A,14,11,3,6,10,18,5,8,2,5,0,0
T1,1.10.2018,Medipol Baþakþehir FK,Yeni Malatyaspor,1,1,D,0,1,A,14,11,6,3,11,9,12,2,2,2,0,0
T1,5.10.2018,Kasimpaþa SK,Göztepe SK,3,1,H,1,0,H,19,12,5,5,16,9,6,5,1,0,0,0
T1,6.10.2018,Antalyaspor,Galatasaray SK,0,1,A,0,0,D,5,15,0,7,15,14,5,7,1,3,0,0
T1,6.10.2018,Bursaspor,MKE Ankaragücü,1,0,H,1,0,H,13,7,5,2,19,11,10,5,1,0,0,0
T1,6.10.2018,BB Erzurumspor,Alanyaspor,1,0,H,0,0,D,13,6,4,1,10,15,6,5,2,2,0,0
T1,6.10.2018,Kayserispor,Çaykur Rizespor,2,2,D,0,1,A,14,6,4,2,11,14,5,6,1,3,1,1
T1,7.10.2018,Akhisar Belediyespor,Trabzonspor,1,3,A,0,2,A,11,10,4,4,15,16,5,5,1,3,0,0
T1,7.10.2018,Fenerbahçe SK,Medipol Baþakþehir FK,0,0,D,0,0,D,16,9,4,3,15,16,7,6,5,4,0,0
T1,7.10.2018,Atiker Konyaspor,Beþiktaþ JK,2,2,D,1,0,H,15,7,5,4,18,10,9,4,6,7,0,1
T1,7.10.2018,Yeni Malatyaspor,Sivasspor,4,4,D,1,3,A,23,12,8,5,13,13,5,3,3,4,0,1
T1,19.10.2018,Galatasaray SK,Bursaspor,1,1,D,0,0,D,10,13,3,3,6,18,1,6,1,5,0,0
T1,20.10.2018,Medipol Baþakþehir FK,Kayserispor,1,0,H,1,0,H,14,7,3,2,15,14,8,4,4,3,0,0
T1,20.10.2018,Kasimpaþa SK,Akhisar Belediyespor,5,0,H,0,0,D,16,16,6,5,18,16,3,7,1,3,0,0
T1,20.10.2018,Sivasspor,Fenerbahçe SK,0,0,D,0,0,D,17,13,4,4,14,14,3,4,2,1,0,0
T1,21.10.2018,Alanyaspor,Antalyaspor,0,1,A,0,1,A,12,10,0,3,15,14,7,4,3,4,1,0
T1,21.10.2018,MKE Ankaragücü,Yeni Malatyaspor,1,0,H,1,0,H,7,10,3,2,21,19,6,6,4,4,0,0
T1,21.10.2018,Göztepe SK,Beþiktaþ JK,2,0,H,0,0,D,10,10,5,2,18,14,5,6,3,2,0,0
T1,21.10.2018,Çaykur Rizespor,Atiker Konyaspor,1,1,D,1,0,H,9,14,3,4,20,21,3,7,2,0,1,0
T1,22.10.2018,Trabzonspor,BB Erzurumspor,0,0,D,0,0,D,13,10,1,4,10,14,7,5,1,3,0,0
T1,26.10.2018,Bursaspor,Alanyaspor,2,0,H,2,0,H,12,7,7,0,17,17,2,6,1,0,0,
T1,27.10.2018,Antalyaspor,Trabzonspor,1,1,D,1,1,D,12,11,7,4,14,15,5,3,2,1,0,0
T1,27.10.2018,BB Erzurumspor,Kasimpaþa SK,1,1,D,1,0,H,14,18,5,7,18,9,6,8,4,1,1,0
T1,27.10.2018,Atiker Konyaspor,Medipol Baþakþehir FK,0,1,A,0,0,D,9,7,1,4,11,15,3,2,1,0,0,0
T1,28.10.2018,Fenerbahçe SK,MKE Ankaragücü,1,3,A,0,1,A,13,17,3,8,16,21,5,7,4,5,1,0
T1,28.10.2018,Kayserispor,Sivasspor,2,0,H,0,0,D,10,14,4,2,13,14,3,5,4,6,0,1
T1,28.10.2018,Yeni Malatyaspor,Galatasaray SK,2,0,H,1,0,H,12,14,5,2,16,13,5,5,2,1,0,0
T1,29.10.2018,Akhisar Belediyespor,Göztepe SK,1,0,H,1,0,H,11,13,4,3,18,14,3,3,3,4,0,0
T1,29.10.2018,Beþiktaþ JK,Çaykur Rizespor,4,1,H,2,0,H,26,5,12,2,12,12,7,2,3,2,0,2
T1,2.11.2018,Galatasaray SK,Fenerbahçe SK,2,2,D,1,0,H,16,17,3,5,9,16,6,4,1,4,0,0
