,HomeTeam,AwayTeam,FTHG,FTAG,FTR
116,SV Zulte-Waregem,Sporting Lokeren,2,0,H
117,RSC Anderlecht,KAA Gent,2,0,H
118,KV Kortrijk,Standard de Liège,0,2,A
119,Royal Excel Mouscron,KRC Genk,0,0,D
120,Club Brugge KV,SV Zulte-Waregem,1,3,A
121,KRC Genk,KSV Cercle Brugge,1,2,A
122,KV Oostende,KV Kortrijk,1,2,A
123,Standard de Liège,KAS Eupen,3,0,H
124,Waasland-Beveren,Royal Excel Mouscron,1,2,A
125,KAA Gent,Royal Antwerp FC,0,0,D
126,Sporting Lokeren,Sporting de Charleroi,2,4,A
127,Sint-Truidense VV,RSC Anderlecht,4,2,H
128,Sporting Lokeren,KAA Gent,2,2,D
129,Royal Antwerp FC,Sint-Truidense VV,1,3,A
130,Sporting de Charleroi,KSV Cercle Brugge,3,1,H
131,KV Kortrijk,Royal Excel Mouscron,1,0,H
132,SV Zulte-Waregem,KV Oostende,1,1,D
133,RSC Anderlecht,KRC Genk,0,1,A
134,Club Brugge KV,Standard de Liège,3,0,H
135,KAS Eupen,Waasland-Beveren,1,0,H
136,Waasland-Beveren,Club Brugge KV,2,1,H
137,KRC Genk,KV Kortrijk,1,1,D
138,Royal Excel Mouscron,SV Zulte-Waregem,0,0,D
139,KV Oostende,Sporting Lokeren,1,0,H
140,Sint-Truidense VV,Standard de Liège,1,1,D
141,RSC Anderlecht,Sporting de Charleroi,1,1,D
142,KSV Cercle Brugge,Royal Antwerp FC,0,3,A
143,KAA Gent,KAS Eupen,2,0,H
144,Sporting de Charleroi,KAA Gent,2,0,H
145,Royal Antwerp FC,Waasland-Beveren,0,2,A
146,KAS Eupen,Royal Excel Mouscron,1,0,H
147,KV Kortrijk,Club Brugge KV,0,0,D
148,Sporting Lokeren,Sint-Truidense VV,2,0,H
149,KSV Cercle Brugge,RSC Anderlecht,2,1,H
150,KRC Genk,KV Oostende,2,0,H
151,Standard de Liège,SV Zulte-Waregem,4,1,H
152,KAA Gent,KSV Cercle Brugge,4,1,H
153,Royal Excel Mouscron,RSC Anderlecht,3,1,H
154,Sint-Truidense VV,KV Kortrijk,0,0,D
155,Standard de Liège,KV Oostende,3,1,H
156,Waasland-Beveren,Sporting Lokeren,2,1,H
157,Club Brugge KV,Royal Antwerp FC,5,1,H
158,KAS Eupen,KRC Genk,0,2,A
159,SV Zulte-Waregem,Sporting de Charleroi,3,1,H
160,Royal Antwerp FC,Royal Excel Mouscron,2,1,H
161,KSV Cercle Brugge,KAS Eupen,0,1,A
162,Sporting de Charleroi,Standard de Liège,0,1,A
163,KRC Genk,KAA Gent,3,1,H
164,KV Kortrijk,SV Zulte-Waregem,4,2,H
165,KV Oostende,Sint-Truidense VV,1,1,D
166,RSC Anderlecht,Waasland-Beveren,3,0,H
167,Sporting Lokeren,Club Brugge KV,0,1,A
168,Sint-Truidense VV,KRC Genk,2,3,A
169,KAS Eupen,Sporting Lokeren,4,1,H
170,Standard de Liège,KV Kortrijk,2,1,H
171,Waasland-Beveren,KSV Cercle Brugge,1,1,D
172,SV Zulte-Waregem,Royal Antwerp FC,1,2,A
173,Club Brugge KV,Sporting de Charleroi,0,1,A
174,KAA Gent,RSC Anderlecht,1,0,H
175,Royal Excel Mouscron,KV Oostende,2,1,H
176,Royal Antwerp FC,Standard de Liège,1,1,D
177,KSV Cercle Brugge,Sint-Truidense VV,1,2,A
178,Sporting de Charleroi,Waasland-Beveren,2,2,D
179,KRC Genk,Royal Excel Mouscron,1,2,A
180,Sporting Lokeren,SV Zulte-Waregem,0,3,A
181,RSC Anderlecht,KAS Eupen,2,1,H
182,KV Kortrijk,KAA Gent,1,2,A
183,KV Oostende,Club Brugge KV,1,2,A
184,Royal Excel Mouscron,Sporting de Charleroi,3,0,H
185,KV Kortrijk,Sporting Lokeren,2,1,H
186,KV Oostende,Royal Antwerp FC,0,2,A
187,Waasland-Beveren,KRC Genk,1,2,A
188,SV Zulte-Waregem,KSV Cercle Brugge,3,2,H
189,Club Brugge KV,KAA Gent,1,1,D
190,Sint-Truidense VV,KAS Eupen,4,1,H
191,Standard de Liège,RSC Anderlecht,2,1,H
192,KRC Genk,Standard de Liège,2,0,H
193,Sporting de Charleroi,KV Oostende,1,1,D
194,KAS Eupen,KV Kortrijk,0,1,A
195,Sporting Lokeren,Royal Antwerp FC,2,1,H
196,Sint-Truidense VV,Waasland-Beveren,2,1,H
197,RSC Anderlecht,SV Zulte-Waregem,0,0,D
198,KSV Cercle Brugge,Club Brugge KV,2,2,D
199,KAA Gent,Royal Excel Mouscron,1,2,A
200,Standard de Liège,Sporting Lokeren,3,1,H
201,KV Kortrijk,Sporting de Charleroi,1,2,A
202,KV Oostende,KAS Eupen,1,1,D
203,Waasland-Beveren,KAA Gent,2,1,H
204,SV Zulte-Waregem,Sint-Truidense VV,1,1,D
205,Royal Antwerp FC,RSC Anderlecht,0,1,A
206,Club Brugge KV,KRC Genk,3,1,H
207,Royal Excel Mouscron,KSV Cercle Brugge,3,0,H
208,KAA Gent,Standard de Liège,2,1,H
209,KSV Cercle Brugge,KV Oostende,2,2,D
210,KAS Eupen,SV Zulte-Waregem,2,3,A
211,Royal Excel Mouscron,Sporting Lokeren,1,0,H
212,Waasland-Beveren,KV Kortrijk,2,6,A
213,RSC Anderlecht,Club Brugge KV,2,2,D
214,KRC Genk,Royal Antwerp FC,0,0,D
215,Sint-Truidense VV,Sporting de Charleroi,3,1,H
216,Standard de Liège,Royal Excel Mouscron,1,1,D
217,Sporting de Charleroi,KRC Genk,1,1,D
