,HomeTeam,AwayTeam,FTHG,FTAG,FTR
492,1. FC Nürnberg,FC Schalke 04 04,1,1,D
493,Borussia Dortmund,1. FSV Mainz 05,2,1,H
494,Hannover 96,Borussia Mönchengladbach,0,1,A
495,RB Leipzig,VfL Wolfsburg,2,0,H
496,VfB Stuttgart,Bayer 04 Leverkusen,0,1,A
497,SV Werder Bremen,SC Freiburg,2,1,H
498,Eintracht Frankfurt,FC Augsburg,1,3,A
499,Fortuna Düsseldorf,FC Bayern München,1,4,A
500,TSG 1899 Hoffenheim,Hertha BSC,2,0,H
501,FC Augsburg,VfB Stuttgart,6,0,H
502,FC Bayern München,SV Werder Bremen,1,0,H
503,Bayer 04 Leverkusen,1. FC Nürnberg,2,0,H
504,1. FSV Mainz 05,Fortuna Düsseldorf,3,1,H
505,Borussia Mönchengladbach,RB Leipzig,1,2,A
506,FC Schalke 04 04,TSG 1899 Hoffenheim,2,5,A
507,SC Freiburg,Borussia Dortmund,0,4,A
508,Hertha BSC,Hannover 96,0,0,D
509,VfL Wolfsburg,Eintracht Frankfurt,1,1,D
510,FC Augsburg,Bayer 04 Leverkusen,1,4,A
511,Borussia Dortmund,FC Schalke 04 04,2,4,A
512,Eintracht Frankfurt,Hertha BSC,0,0,D
513,Fortuna Düsseldorf,SV Werder Bremen,4,1,H
514,Hannover 96,1. FSV Mainz 05,1,0,H
515,RB Leipzig,SC Freiburg,2,1,H
516,VfB Stuttgart,Borussia Mönchengladbach,1,0,H
517,TSG 1899 Hoffenheim,VfL Wolfsburg,1,4,A
518,1. FC Nürnberg,FC Bayern München,1,1,D
519,1. FSV Mainz 05,RB Leipzig,3,3,D
520,FC Bayern München,Hannover 96,3,1,H
521,Hertha BSC,VfB Stuttgart,3,1,H
522,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,2,D
523,SV Werder Bremen,Borussia Dortmund,2,2,D
524,VfL Wolfsburg,1. FC Nürnberg,2,0,H
525,SC Freiburg,Fortuna Düsseldorf,1,1,D
526,Bayer 04 Leverkusen,Eintracht Frankfurt,6,1,H
527,FC Schalke 04 04,FC Augsburg,0,0,D
528,FC Augsburg,Hertha BSC,3,4,A
529,Borussia Dortmund,Fortuna Düsseldorf,3,2,H
530,Hannover 96,SC Freiburg,3,0,H
531,TSG 1899 Hoffenheim,SV Werder Bremen,0,1,A
532,Bayer 04 Leverkusen,FC Schalke 04 04,1,1,D
533,1. FC Nürnberg,Borussia Mönchengladbach,0,4,A
534,RB Leipzig,FC Bayern München,0,0,D
535,VfB Stuttgart,VfL Wolfsburg,3,0,H
536,Eintracht Frankfurt,1. FSV Mainz 05,0,2,A
537,FC Bayern München,Eintracht Frankfurt,5,1,H
538,Fortuna Düsseldorf,Hannover 96,2,1,H
539,SC Freiburg,1. FC Nürnberg,5,1,H
540,Hertha BSC,Bayer 04 Leverkusen,1,5,A
541,1. FSV Mainz 05,TSG 1899 Hoffenheim,4,2,H
542,Borussia Mönchengladbach,Borussia Dortmund,0,2,A
543,FC Schalke 04 04,VfB Stuttgart,0,0,D
544,SV Werder Bremen,RB Leipzig,2,1,H
545,VfL Wolfsburg,FC Augsburg,8,1,H
546,Real Betis,Levante UD,0,3,A
547,Girona FC,Real Valladolid CF,0,0,D
548,FC Barcelona,Deportivo Alavés,3,0,H
549,RC Celta,RCD Espanyol,1,1,D
550,Villarreal CF,Sociedad,1,2,A
551,SD Eibar,SD Huesca,1,2,A
552,Real Madrid,Getafe CF,2,0,H
553,Rayo Vallecano,Sevilla FC,1,4,A
554,Athletic Club de Bilbao,CD Leganés,2,1,H
555,Valencia CF,Atlético Madrid,1,1,D
556,Getafe CF,SD Eibar,2,0,H
557,CD Leganés,Sociedad,2,2,D
558,Deportivo Alavés,Real Betis,0,0,D
559,Atlético Madrid,Rayo Vallecano,1,0,H
560,Real Valladolid CF,FC Barcelona,0,1,A
561,RCD Espanyol,Valencia CF,2,0,H
562,Girona FC,Real Madrid,1,4,A
563,Sevilla FC,Villarreal CF,0,0,D
564,Athletic Club de Bilbao,SD Huesca,2,2,D
565,Levante UD,RC Celta,1,2,A
566,SD Eibar,Sociedad,2,1,H
567,Getafe CF,Real Valladolid CF,0,0,D
568,Villarreal CF,Girona FC,0,1,A
569,RC Celta,Atlético Madrid,2,0,H
570,Real Madrid,CD Leganés,4,1,H
571,Deportivo Alavés,RCD Espanyol,2,1,H
572,FC Barcelona,SD Huesca,8,2,H
573,Real Betis,Sevilla FC,1,0,H
574,Levante UD,Valencia CF,2,2,D
575,SD Huesca,Rayo Vallecano,0,1,A
576,Athletic Club de Bilbao,Real Madrid,1,1,D
577,Atlético Madrid,SD Eibar,1,1,D
578,Sociedad,FC Barcelona,1,2,A
579,Valencia CF,Real Betis,0,0,D
580,RCD Espanyol,Levante UD,1,0,H
581,CD Leganés,Villarreal CF,0,1,A
582,Sevilla FC,Getafe CF,0,2,A
583,Real Valladolid CF,Deportivo Alavés,0,1,A
584,Girona FC,RC Celta,3,2,H
585,SD Huesca,Sociedad,0,1,A
586,RC Celta,Real Valladolid CF,3,3,D
587,SD Eibar,CD Leganés,1,0,H
588,Getafe CF,Atlético Madrid,0,2,A
589,Real Madrid,RCD Espanyol,1,0,H
590,Rayo Vallecano,Deportivo Alavés,1,5,A
591,FC Barcelona,Girona FC,2,2,D
592,Real Betis,Athletic Club de Bilbao,2,2,D
593,Levante UD,Sevilla FC,2,6,A
594,Villarreal CF,Valencia CF,0,0,D
595,Atlético Madrid,SD Huesca,3,0,H
596,RCD Espanyol,SD Eibar,1,0,H
597,Sociedad,Rayo Vallecano,2,2,D
598,Athletic Club de Bilbao,Villarreal CF,0,3,A
599,CD Leganés,FC Barcelona,2,1,H
600,Sevilla FC,Real Madrid,3,0,H
601,Valencia CF,RC Celta,1,1,D
602,Deportivo Alavés,Getafe CF,1,1,D
603,Girona FC,Real Betis,0,1,A
604,Real Valladolid CF,Levante UD,2,1,H
605,Rayo Vallecano,RCD Espanyol,2,2,D
606,FC Barcelona,Athletic Club de Bilbao,1,1,D
607,SD Eibar,Sevilla FC,1,3,A
608,Real Madrid,Atlético Madrid,0,0,D
609,Sociedad,Valencia CF,0,1,A
610,Real Betis,CD Leganés,1,0,H
611,SD Huesca,Girona FC,1,1,D
612,Levante UD,Deportivo Alavés,2,1,H
613,Villarreal CF,Real Valladolid CF,0,1,A
614,RC Celta,Getafe CF,1,1,D
615,Athletic Club de Bilbao,Sociedad,1,3,A
616,Deportivo Alavés,Real Madrid,1,0,H
617,Getafe CF,Levante UD,0,1,A
618,Girona FC,SD Eibar,2,3,A
619,CD Leganés,Rayo Vallecano,1,0,H
620,Atlético Madrid,Real Betis,1,0,H
621,RCD Espanyol,Villarreal CF,3,1,H
622,Sevilla FC,RC Celta,2,1,H
623,Valencia CF,FC Barcelona,1,1,D
624,Real Valladolid CF,SD Huesca,1,0,H
625,RC Celta,Deportivo Alavés,0,1,A
626,FC Barcelona,Sevilla FC,4,2,H
627,Real Madrid,Levante UD,1,2,A
628,Valencia CF,CD Leganés,1,1,D
629,Villarreal CF,Atlético Madrid,1,1,D
630,Real Betis,Real Valladolid CF,0,1,A
631,SD Eibar,Athletic Club de Bilbao,1,1,D
632,SD Huesca,RCD Espanyol,0,2,A
633,Rayo Vallecano,Getafe CF,1,2,A
634,Sociedad,Girona FC,0,0,D
635,Rayo Vallecano,Athletic Club de Bilbao,1,1,D
636,Real Valladolid CF,RCD Espanyol,1,1,D
637,Athletic Club de Bilbao,Valencia CF,0,0,D
638,Atlético Madrid,Sociedad,2,0,H
639,RC Celta,SD Eibar,4,0,H
640,Girona FC,Rayo Vallecano,2,1,H
641,Levante UD,CD Leganés,2,0,H
642,Deportivo Alavés,Villarreal CF,2,1,H
643,FC Barcelona,Real Madrid,5,1,H
644,Getafe CF,Real Betis,2,0,H
645,Sevilla FC,SD Huesca,2,1,H
646,CD Leganés,Atlético Madrid,1,1,D
647,Real Madrid,Real Valladolid CF,2,0,H
648,Valencia CF,Girona FC,0,1,A
649,Rayo Vallecano,FC Barcelona,2,3,A
650,Real Betis,RC Celta,3,3,D
651,SD Eibar,Deportivo Alavés,2,1,H
652,SD Huesca,Getafe CF,1,1,D
653,Sociedad,Sevilla FC,0,0,D
654,Villarreal CF,Levante UD,1,1,D
655,RCD Espanyol,Athletic Club de Bilbao,1,0,H
656,Levante UD,Sociedad,1,3,A
657,Atlético Madrid,Athletic Club de Bilbao,3,2,H
658,Getafe CF,Valencia CF,0,1,A
659,Girona FC,CD Leganés,0,0,D
660,Real Valladolid CF,SD Eibar,0,0,D
661,Deportivo Alavés,SD Huesca,2,1,H
662,FC Barcelona,Real Betis,3,4,A
663,RC Celta,Real Madrid,2,4,A
664,Sevilla FC,RCD Espanyol,2,1,H
665,Rayo Vallecano,Villarreal CF,2,2,D
666,CD Leganés,Deportivo Alavés,1,0,H
667,Atlético Madrid,FC Barcelona,1,1,D
668,SD Eibar,Real Madrid,3,0,H
669,SD Huesca,Levante UD,2,2,D
670,Valencia CF,Rayo Vallecano,3,0,H
671,Athletic Club de Bilbao,Getafe CF,1,1,D
672,RCD Espanyol,Girona FC,1,3,A
673,Sevilla FC,Real Valladolid CF,1,0,H
674,Villarreal CF,Real Betis,2,1,H
675,Sociedad,RC Celta,2,1,H
676,Rayo Vallecano,SD Eibar,1,0,H
677,RC Celta,SD Huesca,2,0,H
678,Getafe CF,RCD Espanyol,3,0,H
679,Real Madrid,Valencia CF,2,0,H
680,Real Valladolid CF,CD Leganés,2,4,A
681,Deportivo Alavés,Sevilla FC,1,1,D
682,FC Barcelona,Villarreal CF,2,0,H
683,Real Betis,Sociedad,1,0,H
684,Girona FC,Atlético Madrid,1,1,D
685,Levante UD,Athletic Club de Bilbao,3,0,H
686,CD Leganés,Getafe CF,1,1,D
687,Atlético Madrid,Deportivo Alavés,3,0,H
688,RCD Espanyol,FC Barcelona,0,4,A
689,Valencia CF,Sevilla FC,1,1,D
690,Villarreal CF,RC Celta,2,3,A
691,Real Betis,Rayo Vallecano,2,0,H
692,SD Eibar,Levante UD,4,4,D
693,SD Huesca,Real Madrid,0,1,A
694,Sociedad,Real Valladolid CF,1,2,A
695,Athletic Club de Bilbao,Girona FC,1,0,H
696,RC Celta,CD Leganés,0,0,D
697,SD Eibar,Valencia CF,1,1,D
698,Getafe CF,Sociedad,1,0,H
699,Real Madrid,Rayo Vallecano,1,0,H
700,Real Valladolid CF,Atlético Madrid,2,3,A
701,RCD Espanyol,Real Betis,1,3,A
702,SD Huesca,Villarreal CF,2,2,D
703,Levante UD,FC Barcelona,0,5,A
704,Sevilla FC,Girona FC,2,0,H
705,Deportivo Alavés,Athletic Club de Bilbao,0,0,D
706,Girona FC,Getafe CF,1,1,D
707,Sociedad,Deportivo Alavés,0,1,A
708,Athletic Club de Bilbao,Real Valladolid CF,1,1,D
709,Atlético Madrid,RCD Espanyol,1,0,H
710,FC Barcelona,RC Celta,2,0,H
711,Real Betis,SD Eibar,1,1,D
712,CD Leganés,Sevilla FC,1,1,D
713,Valencia CF,SD Huesca,2,1,H
714,Rayo Vallecano,Levante UD,2,1,H
715,Villarreal CF,Real Madrid,2,2,D
716,RCD Espanyol,CD Leganés,1,0,H
717,Levante UD,Girona FC,2,2,D
718,Deportivo Alavés,Valencia CF,2,1,H
719,SD Huesca,Real Betis,2,1,H
720,Real Valladolid CF,Rayo Vallecano,0,1,A
721,SD Eibar,Villarreal CF,0,0,D
722,Getafe CF,FC Barcelona,1,2,A
723,Real Madrid,Sociedad,0,2,A
724,Sevilla FC,Atlético Madrid,1,1,D
725,RC Celta,Athletic Club de Bilbao,1,2,A
726,Rayo Vallecano,RC Celta,4,2,H
727,Girona FC,Deportivo Alavés,1,1,D
728,CD Leganés,SD Huesca,1,0,H
729,Valencia CF,Real Valladolid CF,1,1,D
730,Villarreal CF,Getafe CF,1,2,A
731,Athletic Club de Bilbao,Sevilla FC,2,0,H
732,Atlético Madrid,Levante UD,1,0,H
733,FC Barcelona,SD Eibar,3,0,H
734,Real Betis,Real Madrid,1,2,A
735,Sociedad,RCD Espanyol,3,2,H
736,Getafe CF,Deportivo Alavés,4,0,H
737,RC Celta,Valencia CF,1,2,A
738,SD Huesca,Atlético Madrid,0,3,A
739,Real Madrid,Sevilla FC,2,0,H
740,FC Barcelona,CD Leganés,3,1,H
741,Real Betis,Girona FC,3,2,H
742,Levante UD,Real Valladolid CF,2,0,H
743,Rayo Vallecano,Sociedad,2,2,D
744,Villarreal CF,Athletic Club de Bilbao,1,1,D
745,SD Eibar,RCD Espanyol,3,0,H
746,Atlético Madrid,Getafe CF,2,0,H
747,CD Leganés,SD Eibar,2,2,D
748,Sevilla FC,Levante UD,5,0,H
749,Valencia CF,Villarreal CF,3,0,H
750,Athletic Club de Bilbao,Real Betis,1,0,H
751,RCD Espanyol,Real Madrid,2,4,A
752,Girona FC,FC Barcelona,0,2,A
753,Sociedad,SD Huesca,0,0,D
754,Real Valladolid CF,RC Celta,2,1,H
755,Deportivo Alavés,Rayo Vallecano,0,1,A
756,SD Huesca,Real Valladolid CF,4,0,H
757,FC Barcelona,Valencia CF,2,2,D
758,RC Celta,Sevilla FC,1,0,H
759,Levante UD,Getafe CF,0,0,D
760,Sociedad,Athletic Club de Bilbao,2,1,H
761,Real Betis,Atlético Madrid,1,0,H
762,SD Eibar,Girona FC,3,0,H
763,Real Madrid,Deportivo Alavés,3,0,H
764,Villarreal CF,RCD Espanyol,2,2,D
765,Rayo Vallecano,CD Leganés,1,2,A
766,Real Valladolid CF,Villarreal CF,0,0,D
767,Atlético Madrid,Real Madrid,1,3,A
768,RCD Espanyol,Rayo Vallecano,2,1,H
769,Getafe CF,RC Celta,3,1,H
770,Girona FC,SD Huesca,0,2,A
771,Athletic Club de Bilbao,FC Barcelona,0,0,D
772,CD Leganés,Real Betis,3,0,H
773,Sevilla FC,SD Eibar,2,2,D
774,Valencia CF,Sociedad,0,0,D
775,Deportivo Alavés,Levante UD,2,0,H
776,SD Eibar,Getafe CF,2,2,D
777,FC Barcelona,Real Valladolid CF,1,0,H
778,RC Celta,Levante UD,1,4,A
779,Sociedad,CD Leganés,3,0,H
780,Rayo Vallecano,Atlético Madrid,0,1,A
781,Real Betis,Deportivo Alavés,1,1,D
782,Real Madrid,Girona FC,1,2,A
783,Valencia CF,RCD Espanyol,0,0,D
784,Villarreal CF,Sevilla FC,3,0,H
785,SD Huesca,Athletic Club de Bilbao,0,1,A
786,RCD Espanyol,SD Huesca,1,1,D
787,Deportivo Alavés,RC Celta,0,0,D
788,Athletic Club de Bilbao,SD Eibar,1,0,H
789,Getafe CF,Rayo Vallecano,2,1,H
790,Sevilla FC,FC Barcelona,2,4,A
791,Atlético Madrid,Villarreal CF,2,0,H
792,CD Leganés,Valencia CF,1,1,D
793,Levante UD,Real Madrid,1,2,A
794,Real Valladolid CF,Real Betis,0,2,A
795,Girona FC,Sociedad,0,0,D
796,Rayo Vallecano,Girona FC,0,2,A
797,RCD Espanyol,Real Valladolid CF,3,1,H
798,SD Huesca,Sevilla FC,2,1,H
799,Real Madrid,FC Barcelona,0,1,A
800,Villarreal CF,Deportivo Alavés,1,2,A
801,Real Betis,Getafe CF,1,2,A
802,SD Eibar,RC Celta,1,0,H
803,Sociedad,Atlético Madrid,0,2,A
804,Valencia CF,Athletic Club de Bilbao,2,0,H
805,CD Leganés,Levante UD,1,0,H
806,Athletic Club de Bilbao,RCD Espanyol,1,1,D
807,Deportivo Alavés,SD Eibar,1,1,D
808,Atlético Madrid,CD Leganés,1,0,H
809,FC Barcelona,Rayo Vallecano,3,1,H
810,Getafe CF,SD Huesca,2,1,H
811,RC Celta,Real Betis,0,1,A
812,Girona FC,Valencia CF,2,3,A
813,Levante UD,Villarreal CF,0,2,A
814,Sevilla FC,Sociedad,5,2,H
815,Real Valladolid CF,Real Madrid,1,4,A
816,Sociedad,Levante UD,1,1,D
817,Athletic Club de Bilbao,Atlético Madrid,2,0,H
818,SD Huesca,Deportivo Alavés,1,3,A
819,CD Leganés,Girona FC,0,2,A
820,Real Madrid,RC Celta,2,0,H
821,Real Betis,FC Barcelona,1,4,A
822,SD Eibar,Real Valladolid CF,1,2,A
823,RCD Espanyol,Sevilla FC,0,1,A
824,Valencia CF,Getafe CF,0,0,D
825,Villarreal CF,Rayo Vallecano,3,1,H
826,Girona FC,Athletic Club de Bilbao,1,2,A
827,Deportivo Alavés,Atlético Madrid,0,4,A
828,FC Barcelona,RCD Espanyol,2,0,H
829,RC Celta,Villarreal CF,3,2,H
830,Getafe CF,CD Leganés,0,2,A
831,Levante UD,SD Eibar,2,2,D
832,Real Madrid,SD Huesca,3,2,H
833,Sevilla FC,Valencia CF,0,1,A
834,Real Valladolid CF,Sociedad,1,1,D
835,Rayo Vallecano,Real Betis,1,1,D
836,Atlético Madrid,Girona FC,2,0,H
837,RCD Espanyol,Getafe CF,1,1,D
838,Villarreal CF,FC Barcelona,4,4,D
839,Athletic Club de Bilbao,Levante UD,3,2,H
840,SD Eibar,Rayo Vallecano,2,1,H
841,SD Huesca,RC Celta,3,3,D
842,Valencia CF,Real Madrid,2,1,H
843,CD Leganés,Real Valladolid CF,1,0,H
844,Sevilla FC,Deportivo Alavés,2,0,H
845,Sociedad,Real Betis,2,1,H
846,FC Barcelona,Atlético Madrid,2,0,H
847,Girona FC,RCD Espanyol,1,2,A
848,Real Madrid,SD Eibar,2,1,H
849,Rayo Vallecano,Valencia CF,2,0,H
850,Deportivo Alavés,CD Leganés,1,1,D
851,Real Betis,Villarreal CF,2,1,H
852,RC Celta,Sociedad,3,1,H
853,Getafe CF,Athletic Club de Bilbao,1,0,H
854,Levante UD,SD Huesca,2,2,D
855,Real Valladolid CF,Sevilla FC,0,2,A
856,Atlético Madrid,RC Celta,2,0,H
857,RCD Espanyol,Deportivo Alavés,2,1,H
858,SD Huesca,FC Barcelona,0,0,D
859,Sevilla FC,Real Betis,3,2,H
860,Athletic Club de Bilbao,Rayo Vallecano,3,2,H
861,Girona FC,Villarreal CF,0,1,A
862,Sociedad,SD Eibar,1,1,D
863,Valencia CF,Levante UD,3,1,H
864,Real Valladolid CF,Getafe CF,2,2,D
865,CD Leganés,Real Madrid,1,1,D
866,Deportivo Alavés,Real Valladolid CF,2,2,D
867,FC Barcelona,Sociedad,2,1,H
868,RC Celta,Girona FC,2,1,H
869,SD Eibar,Atlético Madrid,0,1,A
870,Rayo Vallecano,SD Huesca,0,0,D
871,Real Betis,Valencia CF,1,2,A
872,Getafe CF,Sevilla FC,3,0,H
873,Levante UD,RCD Espanyol,2,2,D
874,Real Madrid,Athletic Club de Bilbao,3,0,H
875,Villarreal CF,CD Leganés,2,1,H
876,Deportivo Alavés,FC Barcelona,0,2,A
877,SD Huesca,SD Eibar,2,0,H
878,Real Valladolid CF,Girona FC,1,0,H
879,Atlético Madrid,Valencia CF,3,2,H
880,RCD Espanyol,RC Celta,1,1,D
881,CD Leganés,Athletic Club de Bilbao,0,1,A
882,Levante UD,Real Betis,4,0,H
883,Getafe CF,Real Madrid,0,0,D
884,Sevilla FC,Rayo Vallecano,5,0,H
885,Sociedad,Villarreal CF,0,1,A
886,Athletic Club de Bilbao,Deportivo Alavés,1,1,D
887,Atlético Madrid,Real Valladolid CF,1,0,H
888,FC Barcelona,Levante UD,1,0,H
889,CD Leganés,RC Celta,0,0,D
890,Girona FC,Sevilla FC,1,0,H
891,Sociedad,Getafe CF,2,1,H
892,Valencia CF,SD Eibar,0,1,A
893,Rayo Vallecano,Real Madrid,1,0,H
894,Villarreal CF,SD Huesca,1,1,D
895,Real Betis,RCD Espanyol,1,1,D
896,Sevilla FC,CD Leganés,0,3,A
897,Deportivo Alavés,Sociedad,0,1,A
898,RC Celta,FC Barcelona,2,0,H
899,RCD Espanyol,Atlético Madrid,3,0,H
900,Levante UD,Rayo Vallecano,4,1,H
901,SD Eibar,Real Betis,1,0,H
902,Getafe CF,Girona FC,2,0,H
903,SD Huesca,Valencia CF,2,6,A
904,Real Madrid,Villarreal CF,3,2,H
905,Real Valladolid CF,Athletic Club de Bilbao,1,0,H
906,Athletic Club de Bilbao,RC Celta,3,1,H
907,Atlético Madrid,Sevilla FC,1,1,D
908,FC Barcelona,Getafe CF,2,0,H
909,Real Betis,SD Huesca,2,1,H
910,Girona FC,Levante UD,1,2,A
911,CD Leganés,RCD Espanyol,0,2,A
912,Sociedad,Real Madrid,3,1,H
913,Valencia CF,Deportivo Alavés,3,1,H
914,Rayo Vallecano,Real Valladolid CF,1,2,A
915,Villarreal CF,SD Eibar,1,0,H
916,Deportivo Alavés,Girona FC,2,1,H
917,RC Celta,Rayo Vallecano,2,2,D
918,RCD Espanyol,Sociedad,2,0,H
919,Getafe CF,Villarreal CF,2,2,D
920,SD Huesca,CD Leganés,2,1,H
921,Levante UD,Atlético Madrid,2,2,D
922,Sevilla FC,Athletic Club de Bilbao,2,0,H
923,Real Valladolid CF,Valencia CF,0,2,A
924,SD Eibar,FC Barcelona,2,2,D
925,Real Madrid,Real Betis,0,2,A
926,Olympique de Marseille,Toulouse Football Club,4,0,H
927,Angers SCO,Nîmes Olympique,3,4,A
928,LOSC Lille,Stade Rennais FC,3,1,H
929,Montpellier HSC,Dijon FCO,1,2,A
930,FC Nantes,AS Monaco,1,3,A
931,OGC Nice,Stade de Reims,0,1,A
932,AS Saint-Étienne,En Avant de Guingamp,2,1,H
933,FC Girondins de Bordeaux,RC Strasbourg Alsace,0,2,A
934,Olympique Lyonnais,Amiens SC,2,0,H
935,Paris Saint-Germain,Stade Malherbe Caen,3,0,H
936,Stade de Reims,Olympique Lyonnais,1,0,H
937,Amiens SC,Montpellier HSC,1,2,A
938,Stade Malherbe Caen,OGC Nice,1,1,D
939,Dijon FCO,FC Nantes,2,0,H
940,En Avant de Guingamp,Paris Saint-Germain,1,3,A
941,AS Monaco,LOSC Lille,0,0,D
942,Stade Rennais FC,Angers SCO,1,0,H
943,Nîmes Olympique,Olympique de Marseille,3,1,H
944,RC Strasbourg Alsace,AS Saint-Étienne,1,1,D
945,Toulouse Football Club,FC Girondins de Bordeaux,2,1,H
946,Olympique Lyonnais,RC Strasbourg Alsace,2,0,H
947,Amiens SC,Stade de Reims,4,1,H
948,Montpellier HSC,AS Saint-Étienne,0,0,D
949,FC Nantes,Stade Malherbe Caen,1,1,D
950,OGC Nice,Dijon FCO,0,4,A
951,Paris Saint-Germain,Angers SCO,3,1,H
952,Toulouse Football Club,Nîmes Olympique,1,0,H
953,FC Girondins de Bordeaux,AS Monaco,2,1,H
954,LOSC Lille,En Avant de Guingamp,3,0,H
955,Olympique de Marseille,Stade Rennais FC,2,2,D
956,Olympique Lyonnais,OGC Nice,0,1,A
957,Angers SCO,LOSC Lille,1,0,H
958,Dijon FCO,Stade Malherbe Caen,0,2,A
959,En Avant de Guingamp,Toulouse Football Club,1,2,A
960,Nîmes Olympique,Paris Saint-Germain,2,4,A
961,Stade de Reims,Montpellier HSC,0,1,A
962,RC Strasbourg Alsace,FC Nantes,2,3,A
963,AS Monaco,Olympique de Marseille,2,3,A
964,Stade Rennais FC,FC Girondins de Bordeaux,2,0,H
965,AS Saint-Étienne,Amiens SC,0,0,D
966,OGC Nice,Stade Rennais FC,2,1,H
967,Paris Saint-Germain,AS Saint-Étienne,4,0,H
968,Amiens SC,LOSC Lille,2,3,A
969,Stade Malherbe Caen,Olympique Lyonnais,2,2,D
970,Dijon FCO,Angers SCO,1,3,A
971,Montpellier HSC,RC Strasbourg Alsace,1,1,D
972,Toulouse Football Club,AS Monaco,1,1,D
973,FC Girondins de Bordeaux,Nîmes Olympique,3,3,D
974,Olympique de Marseille,En Avant de Guingamp,4,0,H
975,FC Nantes,Stade de Reims,0,0,D
976,AS Monaco,Nîmes Olympique,1,1,D
977,Angers SCO,Toulouse Football Club,0,0,D
978,LOSC Lille,FC Nantes,2,1,H
979,Montpellier HSC,OGC Nice,1,0,H
980,Stade de Reims,Dijon FCO,0,0,D
981,AS Saint-Étienne,Stade Malherbe Caen,2,1,H
982,RC Strasbourg Alsace,Amiens SC,3,1,H
983,En Avant de Guingamp,FC Girondins de Bordeaux,1,3,A
984,Olympique Lyonnais,Olympique de Marseille,4,2,H
985,Stade Rennais FC,Paris Saint-Germain,1,3,A
986,AS Monaco,Angers SCO,0,1,A
987,FC Nantes,OGC Nice,1,2,A
988,Toulouse Football Club,AS Saint-Étienne,2,3,A
989,Amiens SC,Stade Rennais FC,2,1,H
990,FC Girondins de Bordeaux,LOSC Lille,1,0,H
991,Stade Malherbe Caen,Montpellier HSC,2,2,D
992,Dijon FCO,Olympique Lyonnais,0,3,A
993,Olympique de Marseille,RC Strasbourg Alsace,3,2,H
994,Nîmes Olympique,En Avant de Guingamp,0,0,D
995,Paris Saint-Germain,Stade de Reims,4,1,H
996,AS Saint-Étienne,AS Monaco,2,0,H
997,Angers SCO,En Avant de Guingamp,0,1,A
998,Stade Malherbe Caen,Amiens SC,1,0,H
999,Olympique Lyonnais,FC Nantes,1,1,D
1000,OGC Nice,Paris Saint-Germain,0,3,A
1001,Stade de Reims,FC Girondins de Bordeaux,0,0,D
1002,RC Strasbourg Alsace,Dijon FCO,3,0,H
1003,LOSC Lille,Olympique de Marseille,3,0,H
1004,Montpellier HSC,Nîmes Olympique,3,0,H
1005,Stade Rennais FC,Toulouse Football Club,1,1,D
1006,Toulouse Football Club,OGC Nice,1,1,D
1007,Amiens SC,Dijon FCO,1,0,H
1008,Angers SCO,RC Strasbourg Alsace,2,2,D
1009,En Avant de Guingamp,Montpellier HSC,1,1,D
1010,LOSC Lille,AS Saint-Étienne,3,1,H
1011,Nîmes Olympique,Stade de Reims,0,0,D
1012,FC Girondins de Bordeaux,FC Nantes,3,0,H
1013,Olympique de Marseille,Stade Malherbe Caen,2,0,H
1014,AS Monaco,Stade Rennais FC,1,2,A
1015,Paris Saint-Germain,Olympique Lyonnais,5,0,H
1016,Olympique Lyonnais,Nîmes Olympique,2,0,H
1017,Stade Malherbe Caen,En Avant de Guingamp,0,0,D
1018,Dijon FCO,LOSC Lille,1,2,A
1019,FC Nantes,Toulouse Football Club,4,0,H
1020,Paris Saint-Germain,Amiens SC,5,0,H
1021,Stade de Reims,Angers SCO,1,1,D
1022,RC Strasbourg Alsace,AS Monaco,2,1,H
1023,Montpellier HSC,FC Girondins de Bordeaux,2,0,H
1024,OGC Nice,Olympique de Marseille,0,1,A
1025,AS Saint-Étienne,Stade Rennais FC,1,1,D
1026,Nîmes Olympique,AS Saint-Étienne,1,1,D
1027,Amiens SC,FC Nantes,1,2,A
1028,Angers SCO,Olympique Lyonnais,1,2,A
1029,En Avant de Guingamp,RC Strasbourg Alsace,1,1,D
1030,LOSC Lille,Stade Malherbe Caen,1,0,H
1031,AS Monaco,Dijon FCO,2,2,D
1032,Toulouse Football Club,Montpellier HSC,0,3,A
1033,FC Girondins de Bordeaux,OGC Nice,0,1,A
1034,Olympique de Marseille,Paris Saint-Germain,0,2,A
1035,Stade Rennais FC,Stade de Reims,0,2,A
1036,Paris Saint-Germain,LOSC Lille,2,1,H
1037,Stade Malherbe Caen,Stade Rennais FC,1,2,A
1038,Dijon FCO,Nîmes Olympique,0,4,A
1039,Olympique Lyonnais,FC Girondins de Bordeaux,1,1,D
1040,OGC Nice,Amiens SC,1,0,H
1041,Stade de Reims,AS Monaco,1,0,H
1042,RC Strasbourg Alsace,Toulouse Football Club,1,1,D
1043,Montpellier HSC,Olympique de Marseille,3,0,H
1044,FC Nantes,En Avant de Guingamp,5,0,H
1045,AS Saint-Étienne,Angers SCO,4,3,H
1046,LOSC Lille,RC Strasbourg Alsace,0,0,D
1047,Angers SCO,Montpellier HSC,1,0,H
1048,En Avant de Guingamp,Olympique Lyonnais,2,4,A
